subpopulation,value_population,subpopulation1,popu_val1,subpopulation2,popu_val2,intersection
,,Educational attainment,Bachelor's degree,Race/Ethnicity,Multiple Races,15587.0
,,Educational attainment,No Degree,With a disability,no,945647.0
,,Educational attainment,No Degree,With a disability,yes,117089.0
,,Educational attainment,No Degree,Race/Ethnicity,American Indian or Alaska Native,13334.0
,,Educational attainment,No Degree,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,2318.0
,,Educational attainment,No Degree,Race/Ethnicity,Asian,39467.0
,,Educational attainment,No Degree,Race/Ethnicity,Black or African American,113201.0
,,Educational attainment,No Degree,Race/Ethnicity,White,811499.0
,,Educational attainment,No Degree,Race/Ethnicity,Multiple Races,82917.0
,,Educational attainment,Doctorate degree,With a disability,no,28035.0
,,Educational attainment,Doctorate degree,With a disability,yes,1825.0
,,Educational attainment,Doctorate degree,Race/Ethnicity,American Indian or Alaska Native,94.0
,,Educational attainment,Doctorate degree,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,22.0
,,Educational attainment,Doctorate degree,Race/Ethnicity,Asian,4618.0
,,Educational attainment,Doctorate degree,Race/Ethnicity,Black or African American,1448.0
,,Educational attainment,Doctorate degree,Race/Ethnicity,White,22820.0
,,Educational attainment,Doctorate degree,Race/Ethnicity,Multiple Races,858.0
,,With a disability,no,Race/Ethnicity,American Indian or Alaska Native,15066.0
,,With a disability,no,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,2904.0
,,With a disability,no,Race/Ethnicity,Asian,102792.0
,,With a disability,no,Race/Ethnicity,Black or African American,150631.0
,,With a disability,no,Race/Ethnicity,White,1340781.0
,,With a disability,no,Race/Ethnicity,Multiple Races,104956.0
,,With a disability,yes,Race/Ethnicity,American Indian or Alaska Native,2378.0
,,With a disability,yes,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,280.0
,,With a disability,yes,Race/Ethnicity,Asian,4367.0
,,With a disability,yes,Race/Ethnicity,Black or African American,17909.0
,,With a disability,yes,Race/Ethnicity,White,134191.0
,,With a disability,yes,Race/Ethnicity,Multiple Races,9493.0
Age,45-54,,,,,355940.0
Age,35-44,,,,,333327.0
Age,85-94,,,,,5396.0
Age,0-16,,,,,10888.0
Age,17-24,,,,,241431.0
Age,55-64,,,,,370759.0
Age,65-74,,,,,179184.0
Age,75-84,,,,,36114.0
Age,25-34,,,,,352473.0
Citizenship status,Born in the U.S.,,,,,1592469.0
Citizenship status,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",,,,,9372.0
Citizenship status,Born abroad of American parent(s),,,,,19535.0
Citizenship status,U.S. citizen by naturalization,,,,,147455.0
Citizenship status,Not a citizen of the U.S.,,,,,116917.0
Marital status,Divorced,,,,,206502.0
Marital status,Never Married,,,,,569563.0
Marital status,Married,,,,,1027967.0
Marital status,Separated,,,,,32387.0
Marital status,Widowed,,,,,49329.0
Educational attainment,Associate's degree,,,,,172272.0
Educational attainment,Professional Degree,,,,,44436.0
Educational attainment,Master's degree,,,,,176357.0
Educational attainment,Bachelor's degree,,,,,400087.0
Educational attainment,No Degree,,,,,1062736.0
Educational attainment,Doctorate degree,,,,,29860.0
With a disability,no,,,,,1717130.0
With a disability,yes,,,,,168618.0
Race/Ethnicity,American Indian or Alaska Native,,,,,17444.0
Race/Ethnicity,Native Hawaiian or Other Pacific Islander,,,,,3184.0
Race/Ethnicity,Asian,,,,,107159.0
Race/Ethnicity,Black or African American,,,,,168540.0
Race/Ethnicity,White,,,,,1474972.0
Race/Ethnicity,Multiple Races,,,,,114449.0
